LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4010,4010,0,47.0,76.90942028985508,50.3768115942029,0.0,0.0,0,3.8265199286629064,1,,106.25,98.0,38.0,187.0,4675.0,40.32030188609761,0.772063933287005,2.296196432131773,0.06025706676547562,0.25067164485999044,4.958344476949381,3.3191110999501943,1.519151761507272,1.4938772242434983,46.00000000000001,26.66562126173752,0.812950837577932,0.948453608247423,3.931631360916196
ID4008,4008,0,41.0,77.42369477911647,47.648594377510044,0.0,1.0,1,3.6345371475096133,1,,82.8780487804878,85.0,50.0,115.0,3398.0,16.914779221070578,0.7304893462974855,4.1366438984458025,0.019473212056577576,-0.09496169030030757,4.950191005341045,2.921698105247985,1.448364480720322,1.6942855924948097,41.50000000000001,25.436172702835826,0.8060359842824439,0.9651162790697676,3.94845976305262
ID4007,4007,0,55.0,76.92813455657492,45.35932721712538,0.0,2.0,2,4.165079686754695,1,,116.36363636363636,110.0,40.0,216.0,6400.0,54.74938309693498,0.8729108962283149,1.9811659193814164,0.08320634611732468,0.2611161296805698,5.370749118369488,3.6210847074929102,-1.5378142278388522,1.4831879263293937,54.5,27.86675590512442,0.881928829092245,0.990909090909091,3.774749726622719
ID4009,4009,0,47.0,76.49633699633699,42.67948717948718,0.0,3.0,3,3.805666803775979,1,,130.17777777777778,124.0,33.0,220.0,5858.0,56.859591374834295,0.829217909300538,2.075708403282129,0.1070170448544705,0.28328467378552397,5.187224349749043,3.2276396240886274,1.4950075443192066,1.607126245146942,45.5,25.930329071709817,0.8503646618495742,1.0,3.8441677410404775
ID4011,4011,0,56.0,76.99415204678363,41.13157894736842,0.0,4.0,4,4.259537945889915,1,,125.84210526315789,113.0,48.0,216.0,7173.0,54.094094433972906,0.8805383203705321,2.1785733627580943,-0.021184065180637344,-0.005749044374666545,5.626831757233622,3.416173281997218,-1.519193406813084,1.6471154396313212,57.0,30.71697094474451,0.759150610918647,0.9344262295081968,4.068562192734091
ID4013,4013,0,51.0,76.375,39.15625,0.0,5.0,5,3.9088200952233594,1,,144.02083333333334,142.0,52.0,219.0,6913.0,52.65200470343725,0.8710754240346446,2.546858813401801,0.0537509169983269,0.1260960990786798,4.945167015630588,3.4245890682858655,1.3104474822636418,1.444017637452142,48.0,28.25798040898392,0.755385879044062,0.9142857142857143,4.078688148970509
ID4012,4012,0,50.0,77.04285714285714,37.48095238095238,0.0,6.0,6,4.08794190573313,1,,138.45098039215685,142.0,39.0,215.0,7061.0,54.582163286366814,0.8761078742100169,2.369054567714385,0.03139697080868846,0.025143335514049875,5.026264663349588,3.5951979845276476,1.5046603398766902,1.398049477380857,52.50000000000001,27.79246387258243,0.8541124803229462,0.9633027522935782,3.835724425547153
